ababa	a- ba- ba
irigenga	i- ri- genga
irigera	i- ri- gera
irigishwa	i- ra- igishwa
irigiswa	i- ri- ki- sa -w
irigiye	i- ri- giye
irigize	i- ri- gize
irigizwe	i- ri- ki- za -w -e
irigomwa	i- ra- igomwa
irigore	i- ri- gora -e
irigutunganywa	i- ri- ku- tunganya -w
iriha	i- ri- ha
irihagije	i- ri- hagije
irihanangirizwa	i- ra- ihanangiriza -w
irihangana	i- ra- ihangana
iriharanira	i- ri- haranira
irihasi	i- ri- ha- si
irihe	i- ri- ha -e
iriherekeza	i- ri- herekeza
irihereye	i- ri- hereye
iriheruka	i- ri- heruka
irihesha	i- ri- ha -ish
irihira	i- ri- ha -ir
irihisha	i- ri- hisha
iriho	i- ri -ho
irihumye	i- ri- humye
irihura	i- ri- hura
irihuza	i- ri- huza
irihwa	i- ri- ha -w
irijyanye	i- ri- jyanye
irikikije	i- ri- kikije
irikomeye	i- ri- komeye
irikora	i- ri- kora
irikorerwa	i- ri- korerwa
irikoresha	i- ri- koresha
irikoreshejwe	i- ri- koresha -ije -w
irikoreshwa	i- ri- koreshwa
irikubiyemo	i- ri- kuba -iye -mo
irikumwe	i- ri- ka- uma -w -e
irikura	i- ri- kura
irimbanije	i- rimba -an -ije
irimbere	i- rimba -ir -e
irimbereho	i- rimba -ir -e -ho
irimbuka	i- rimbuka
irimburwa	i- rimbura -w
irimo	i- ri -mo
irinda	irinda
irinde	irinda -e
irindi	i- ri- n- ri
irindiriwe	i- rindira -iye -w
irindwa	irinda -w
iringaniye	i- ringaniye
iringaniza	i- ringaniza
iringanizwa	i- ringaniza -w
iringiye	iringiye
irinini	i- ri- n- i- ni
irinjira	i- ra- injira
irinze	irinze
irinzwe	i- ri- n- za -w -e
irira	i- rira
irirangira	i- ri- rangira
irirangiye	i- ri- rangiye
irirebana	i- ri- reba -an
iririho	i- ri- ri -ho
iririmba	i- ririmba
iririmbwa	i- ririmba -w
iririmbwe	i- ririmba -w -e
iririmbye	i- ririmbye
iririnda	i- ri- rinda
iririsimbura	i- ri- ri- simbura
iriruka	i- ri- ruka
irirwanya	i- ri- rwanya
irirwanyije	i- ri- rwanya -ije
irisanzwe	i- ri- sanzwe
irisenya	i- ri- senya
irisha	i- risha
irishanwa	i- risha -an -w
irisheho	i- ra- ishe -ho
irishimira	i- ri- shimira
irishimye	i- ri- shimye
irishingiye	i- ri- shinga -iye
irishya	i- ri- shya
irishyiraho	i- ri- shyira -ho
irishyire	i- ri- shyira -e
irisimbura	i- ri- simbura
irisubikwa	i- ri- subikwa
irita	i- ra- ita
iritangaza	i- ri- tangaza
iritangiza	i- ri- tangiza
iritegura	i- ri- tegura
iriteguye	i- ri- teguye
iritsindiye	i- ri- tsinda -iye
iritukura	i- ri- tukura
iritunganya	i- ri- tunganya
iritura	i- ri- tura
iritwaye	i- ri- twaye
irivuga	i- ri- vuga
irivuguruza	i- ri- vuguruza
irivuze	i- ri- vuze
iriwe	iriwe
iriye	i- riye
iriyo	i- ri -yo
iriyoboye	i- ri- yoboye
iriyongera	i- ra- i- ongera
iriza	iriza
irizera	iriza -ir
iroga	i- roga
iroherezwa	i- ra- ohereza -w
irokoka	i- rokoka
irokora	i- rokora
irokorwa	i- rokora -w
iromberejemo	i- rombereje -mo
irondora	i- rondora
irongera	i- ra- ongera
irongeye	i- ra- ongeye
irose	i- rose
iroshya	i- ra- oshya
irubakwa	i- ra- ubaka -w
irufasha	i- ru- fasha
irufite	i- ru- fite
iruganisha	i- ru- gana -ish
irugendaho	i- ru- genda -ho
irugeza	i- ru- geza
irugezemo	i- ru- geze -mo
irugurishamo	i- ru- gurisha -mo
iruha	i- ruha
iruhanga	i- ru- hanga
iruhanze	i- ru- hanze
iruhare	i- ru- hara -e
iruhesha	i- ruha -ish
iruhijeho	i- ruhije -ho
iruhindura	i- ru- hindura
iruhiriza	i- ru- ha- iriza
iruhuka	i- ruhuka
iruhukira	i- ruhuka -ir
iruhura	i- ru- hura
iruhutse	i- ruhutse
irujyana	i- ru- jyana
iruka	iruka
iruke	iruka -e
irukikije	i- ru- kikije
irukize	i- ru- kize
irukura	i- ru- kura
iruma	i- ruma
irumba	i- ru- n- ba
irumbiye	i- ru- n- ba -iye
irumishwa	i- ruma -ish -w
irumva	i- ra- umva
irumvikana	i- ra- umvikana
irumye	i- rumye
irunaka	i- ru- n- aka
irundurwa	i- ru- n- rura -w
irundwa	i- runda -w
irundwamo	i- runda -w -mo
irunganira	i- ru- n- ganira
irunze	i- runze
iruranga	i- ru- ranga
irurira	i- rura -ir
irusaba	i- ru- saba
irusha	i- rusha
irushaho	i- rusha -ho
irushanwa	i- rusha -an -w
irushe	i- rusha -e
irusheho	i- rusha -e -ho
irushije	i- rushije
irushijeho	i- rushije -ho
irushwa	i- rusha -w
irushweho	i- rusha -w -e -ho
irushya	i- rushya
irushyira	i- ru- shyira
irusigaye	i- ru- sigaye
iruta	i- ruta
irutanwa	i- ruta -an -w
irutinya	i- ru- tinya
irutonde	i- ru- tonda -e
irutwa	i- ruta -w
irwana	i- rwana
irwanijwe	i- rwana -ije -w
irwanira	i- rwana -ir
irwanya	i- rwanya
irwanyamo	i- rwanya -mo
irwanye	i- rwanye
irwanyijwe	i- rwanya -ije -w
irwanywa	i- rwanya -w
irwanywe	i- rwanya -w -e
irwara	i- rwara
irwarwa	i- rwara -w
irwaye	i- rwaye
irwaza	i- rwaza
irya	i- rya
iryaguye	i- ri- aguye
iryamana	i- ryamana
iryana	i- ryana
iryandika	i- ri- andika
iryegereye	i- ri- egereye
iryemerere	i- ri- emera -ir -e
iryera	i- rya -ir
iryeze	i- ri- eze
iryigenga	i- ri- igenga
iryigisha	i- ri- igisha
iryita	i- ri- ita
iryitwa	i- ri- itwa
iryitwaga	i- ri- itwa -aga
iryoha	i- ryoha
iryohe	i- ryoha -e
iryohera	i- ryoha -ir
iryongeye	i- ri- ongeye
iryoshye	i- ryoshye
isa	i- sa
isaba	i- saba
isabanisha	i- sabana -ish
isabe	i- saba -e
isabiriza	i- sabiriza
isabirwa	i- saba -ir -w
isabiwe	i- saba -iye -w
isabiye	i- saba -iye
isabwa	i- saba -w
isabwaga	i- saba -w -aga
isabwe	i- saba -w -e
isabye	i- sabye
isaduka	i- saduka
isadutse	i- sadutse
isaga	i- saga
isaganwa	i- saga -an -w
isaguka	i- saguka
isagutse	i- sagutse
isahurwa	i- sahura -w
isakara	i- sakara
isakare	i- sakara -e
isakaye	i- sakaye
isakuza	i- sakuza
isama	i- sama
isambuye	i- sambuye
isamwe	i- sama -w -e
isana	i- sa -an
isane	i- sa -an -e
isanga	i- sanga
isanganwe	i- sanga -an -w -e
isanganye	i- sanga -an -ye
isangayo	i- sanga -yo
isange	i- sanga -e
isangira	i- sangira
isangirwa	i- sangira -w
isangiwe	i- sanga -iye -w
isangiye	i- sangiye
isangwa	i- sangwa
isangwamo	i- sangwa -mo
isanwa	i- sa -an -w
isanwe	i- sa -an -w -e
isanze	i- sanze
isanzemo	i- sanze -mo
isanzwe	i- sanzwe
isanzweho	i- sanzwe -ho
isanzwemo	i- sanzwe -mo
isarane	i- sara -an -e
isarura	i- sarura
isarurwa	i- sarura -w
isarurwamo	i- sarura -w -mo
isasijwe	i- sasa -ije -w
isasirwa	i- sasa -ir -w
isasiwe	i- sasa -iye -w
isasiye	i- sasa -iye
isaturwa	i- satura -w
isaza	i- saza
isazaga	i- saza -aga
ise	ise
isebya	i- sebya
iseka	i- seka
isenya	i- senya
isenyera	i- senya -ir
isenyere	i- senya -ir -e
isenyerwa	i- senya -ir -w
isenywa	i- senya -w
isesagura	i- sesagura
isesagurwa	i- sesagura -w
isesengura	i- sesengura
isesengurwa	i- sesengura -w
isesenguye	i- sesenguye
iseswa	i- sesa -w
isetsa	i- setsa
iseye	i- seye
isezera	i- sezera
isezerane	i- sezerana -e
isezerera	i- sezera -ir
isezerere	i- sezera -ir -e
isezererwa	i- sezera -ir -w
isezererwe	i- sezera -ir -w -e
isezeye	i- sezeye
ishaje	i- shaje
ishake	i- shaka -e
ishakira	i- shakira
ishakire	i- shakira -e
ishakirwa	i- shakira -w
ishakirwe	i- shakira -w -e
ishakisha	i- shakisha
ishakishamo	i- shakisha -mo
ishakishe	i- shakisha -e
ishakishwe	i- shakisha -w -e
ishakiye	i- shakiye
ishakwa	i- shaka -w
isharira	i- sharira
ishatse	i- shatse
ishenye	i- shenye
ishidikanya	i- shidikanya
ishidikanywaho	i- shidikanya -w -ho
ishima	ishima
ishimangira	i- shimangira
ishimangire	i- shimangira -e
ishimangirwe	i- shimangira -w -e
ishimira	i- shimira
ishimirwa	i- shimira -w
ishimisha	ishima -ish
ishimishe	ishima -ish -e
ishimishije	ishima -ish -ije
ishimishijwe	ishima -ish -ije -w
ishimishwa	ishima -ish -w
ishimiye	ishima -iye
ishimwa	ishima -w
ishimwe	ishima -w -e
ishinga	i- shinga
ishingamo	i- shinga -mo
ishinganye	ishinganye
ishinge	i- shinga -e
ishingira	i- shinga -ir
ishingiraho	i- shinga -ir -ho
ishingire	i- shinga -ir -e
ishingirwaho	i- shinga -ir -w -ho
ishingiweho	i- shinga -iye -w -ho
ishingiye	i- shinga -iye
ishingiyeho	i- shinga -iye -ho
ishingurwe	i- shingura -w -e
ishingwa	i- shinga -w
ishingwaho	i- shinga -w -ho
ishingwe	i- shinga -w -e
ishinja	i- shinja
ishinjwa	i- shinjwa
ishinze	i- shinze
ishira	i- shira
ishiraho	i- shira -ho
ishire	i- shira -e
ishiremo	i- shira -e -mo
ishirira	i- shira -ir
ishishe	ishishe
ishishikaje	i- shishikaje
ishishikarije	i- shishikara -ije
ishishikariye	i- shishikara -iye
ishishikaye	i- shishikaye
ishishikaza	i- shishikaza
ishize	i- shize
ishoboka	i- shoboka
ishoboke	i- shoboka -e
ishobora	i- shobora
ishobore	i- shobora -e
ishoboye	i- shoboye
ishonga	i- shonga
ishorerwa	i- shorera -w
ishushanyije	i- shushanya -ije
ishushanyijeho	i- shushanya -ije -ho
ishwe	ishwe
ishya	i- shya
ishyigikira	i- shyigikira
ishyigikirwa	i- shyigikira -w
ishyigikirwe	i- shyigikira -w -e
ishyigikiye	i- shyigikiye
ishyikirane	i- shyikirana -e
ishyikirijwe	i- shyika -ir -ije -w
ishyikirwa	i- shyika -ir -w
ishyingirana	i- shyingira -an
ishyingiranwa	i- shyingiranwa
ishyingirwa	i- shyingira -w
ishyingura	i- shyingura
ishyingurwa	i- shyingura -w
ishyingurwamo	i- shyingura -w -mo
ishyingurwe	i- shyingura -w -e
ishyinguye	i- shyinguye
ishyinguyemo	i- shyinguye -mo
ishyira	i- shyira
ishyiraho	i- shyira -ho
ishyiramo	i- shyira -mo
ishyire	i- shyira -e
ishyireho	i- shyira -e -ho
ishyiriraho	i- shyira -ir -ho
ishyiriwe	i- shyira -iye -w
ishyiriye	i- shyiriye
ishyiriyeho	i- shyiriye -ho
ishyiriyemo	i- shyiriye -mo
ishyirwa	i- shyira -w
ishyirwaho	i- shyira -w -ho
ishyirwamo	i- shyira -w -mo
ishyirwe	i- shyira -w -e
ishyirweho	i- shyira -w -e -ho
ishyirwemo	i- shyira -w -e -mo
ishyitse	i- shyitse
ishyize	i- shyize
ishyizeho	i- shyize -ho
ishyizemo	i- shyize -mo
ishyuha	i- shyuha
ishyura	ishyura
ishyushye	i- shyushye
isiba	i- siba
isibira	i- siba -ir
isibye	i- sibye
isifura	i- sifura
isiga	i- siga
isigana	i- siga -an
isiganwa	i- siga -an -w
isigara	i- sigara
isigarana	i- sigara -an
isigaranamo	i- sigara -an -mo
isigaranwa	i- sigara -an -w
isigaranye	i- sigara -an -ye
isigaranyemo	i- sigara -an -ye -mo
isigare	i- sigara -e
isigaye	i- sigaye
isigayemo	i- sigaye -mo
isigira	i- siga -ir
isigiye	i- siga -iye
isigwa	i- siga -w
isiko	i- si -ko
isimbuka	i- simbuka
isimbura	i- simbura
isimburana	i- simbura -an
isimburanwa	i- simbura -an -w
isimbure	i- simbura -e
isimburwa	i- simbura -w
isimbuye	i- simbuye
isinde	i- sinda -e
isinzira	i- sinzira
isinziriye	i- sinzira -iye
isize	i- size
isobanukirwa	i- sobanukirwa
isobanukiwe	i- sobanukiwe
isobanura	i- sobanura
isobanurire	i- sobanura -ir -e
isobanurirwe	i- sobanura -ir -w -e
isobanuriye	i- sobanura -iye
isobanurwa	i- sobanura -w
isobanuye	i- sobanuye
isobanuza	i- sobanuza
isohoka	i- sohoka
isohokana	i- sohoka -an
isohokane	i- sohoka -an -e
isohoke	i- sohoka -e
isohokera	i- sohoka -ir
isohokere	i- sohoka -ir -e
isohora	i- sohora
isohorwa	i- sohora -w
isohotse	i- sohotse
isoma	i- soma
isomwa	i- soma -w
isoromwa	i- soroma -w
isubijwe	i- subijwe
isubika	i- subika
isubikiwe	i- subika -iye -w
isubikwa	i- subikwa
isubira	i- subira
isubirana	i- subira -an
isubiranamo	i- subira -an -mo
isubirane	i- subira -an -e
isubirayo	i- subira -yo
isubire	i- subira -e
isubirishamo	i- subira -ish -mo
isubirishwamo	i- subira -ish -w -mo
isubirwamo	i- subira -w -mo
isubitse	i- subitse
isubitswe	i- subitswe
isubiye	i- subiye
isubiyeho	i- subiye -ho
isubiyemo	i- subiye -mo
isubiyeyo	i- subiye -yo
isubiza	i- subiza
isubize	i- subiza -e
isubizwa	i- subizwa
isubizwaho	i- subizwa -ho
isubizwe	i- subizwa -e
isukamo	i- suka -mo
isuke	i- suka -e
isukura	isukura
isukurwa	isukura -w
isukuye	isukuye
isukwa	i- suka -w
isumba	i- sumba
isumbana	i- sumba -an
isumbanwa	i- sumba -an -w
isumbye	i- sumbye
isurwa	i- sura -w
isuzugura	i- suzugura
isuzuma	isuzuma
isuzume	isuzuma -e
isuzumirwamo	isuzuma -ir -w -mo
isuzumishwa	isuzuma -ish -w
isuzumwa	isuzuma -w
isuzumwe	isuzuma -w -e
isuzumye	isuzumye
isya	i- sya
ita	ita
itaba	itaba
itababarira	i- ta- babarira
itababariye	i- ta- babariye
itababeshya	i- ta- ba- beshya
itababuranisha	i- ta- ba- burana -ish
itababuza	i- ta- ba- buza
itababyarira	i- ta- ba- byara -ir
itababyariraga	i- ta- ba- byara -ir -aga
itabacika	i- ta- ba- cika
itabafasha	i- ta- ba- fasha
itabafata	i- ta- ba- fata
itabaga	itaba -aga
itabagejejeho	i- ta- ba- gejeje -ho
itabageraho	i- ta- ba- gera -ho
itabagezwaho	i- ta- ba- geza -w -ho
itabagusha	i- ta- ba- gusha
itabaha	i- ta- ba- ha
itabahamagariye	i- ta- ba- hamagara -iye
itabahaye	i- ta- ba- haye
itabahenda	i- ta- ba- henda
itabahenze	i- ta- ba- henze
itabahira	i- ta- ba- ha -ir
itabahiriye	i- ta- ba- ha -ir -iye
itabaho	itaba -ho
itabaje	i- ta- baje
itabakundaga	i- ta- ba- kunda -aga
itabakwiriye	i- ta- ba- kwiriye
itabamo	itaba -mo
itabana	itaba -an
itabanguriwe	i- ta- ba- n- gura -iye -w
itabanje	i- ta- ba- n- je
itabara	i- tabara
itabarana	i- tabara -an
itabarangwaho	i- ta- ba- ranga -w -ho
itabareba	i- ta- ba- reba
itabarika	i- ta- ba- arika
itabarirwa	i- tabara -ir -w
itabariza	i- ta- ba- ri- za
itabarizwa	i- ta- ba- ri- za -w
itabarusha	i- ta- ba- rusha
itabarwa	i- tabara -w
itabasabye	i- ta- ba- sabye
itabasha	i- ta- basha
itabashaga	i- ta- basha -aga
itabashije	i- ta- bashije
itabashimishije	i- ta- ba- shima -ish -ije
itabashiriraho	i- ta- ba- shira -ir -ho
itabashishikaje	i- ta- ba- shishikaje
itabatererana	i- ta- ba- tererana
itabavana	i- ta- ba- vana
itabaye	i- tabaye
itabayeho	i- tabaye -ho
itabaze	i- ta- baze
itabazi	i- ta- ba- zi
itabazwa	i- ta- baza -w
itabemerera	i- ta- ba- emera -ir
itabemereraga	i- ta- ba- emera -ir -aga
itabera	itaba -ir
itaberanye	i- tabera -an -ye
itabereye	i- tabereye
itabereyeho	i- tabereye -ho
itabeshwa	itaba -ish -w
itabeshya	i- ta- beshya
itabibagiwe	i- ta- ba- ibagiwe
itabibaza	i- ta- bi- baza
itabibemerera	i- ta- bi- ba- emera -ir
itabicura	i- ta- bi- cura
itabidufashamo	i- ta- bi- tu- fasha -mo
itabifata	i- ta- bi- fata
itabifite	i- ta- bi- fite
itabigeraho	i- ta- bi- gera -ho
itabigize	i- ta- bi- gize
itabigizemo	i- ta- bi- gize -mo
itabikora	i- ta- bi- kora
itabikoraga	i- ta- bi- kora -aga
itabikorera	i- ta- bi- korera
itabikoze	i- ta- bi- koze
itabira	itaba -ir
itabiriwe	i- ta- bi- riwe
itabiriye	itaba -ir -iye
itabirwa	itaba -ir -w
itabishatse	i- ta- bi- shatse
itabishimiye	i- ta- bi- shima -iye
itabishobora	i- ta- bi- shobora
itabishyigikiye	i- ta- bi- shyigikiye
itabishyize	i- ta- bi- shyize
itabishyuye	i- ta- ba- ishyuye
itabitaho	i- ta- ba- ita -ho
itabitera	i- ta- bi- tera
itabitse	i- ta- bitse
itabivugaho	i- ta- bi- vuga -ho
itabizi	i- ta- bi- zi
itabona	i- tabona
itaboneka	i- ta- boneka
itabonekamo	i- ta- boneka -mo
itabonekera	i- ta- boneka -ir
itaboneshwa	i- tabona -ish -w
itabonetse	i- ta- bonetse
itabonetsemo	i- ta- bonetse -mo
itaboneye	i- ta- boneye
itaboneza	i- ta- boneza
itabonye	i- tabonye
itabora	i- ta- bora
itabugera	i- ta- bu- gera
itabujije	i- ta- bujije
itabura	i- ta- bura
itaburanye	i- ta- buranye
itabururwe	i- ta- bu- rura -w -e
itabuvaho	i- ta- bu- va -ho
itabuza	i- ta- buza
itabuzamura	i- ta- bu- zamura
itabuze	i- ta- buze
itabuzemo	i- ta- buze -mo
itabwa	itaba -w
itabwaho	itaba -w -ho
itabwe	itaba -w -e
itabyara	i- ta- byara
itabye	itabye
itabyemera	i- ta- bi- emera
itabyemeraga	i- ta- bi- emera -aga
itabyibagiwe	i- ta- bi- ibagiwe
itabyibuka	i- ta- bi- ibuka
itabyinwa	i- ta- byina -w
itabyitaho	i- ta- bi- ita -ho
itabyubahirije	i- ta- bi- ubaha -ir -ije
itabyujuje	i- ta- bi- ujuje
itacagamo	i- ta- ca -aga -mo
itacitse	i- ta- citse
itaciye	i- ta- ciye
itaducika	i- ta- tu- cika
itadukanye	i- ta- aduka -an -ye
itadukunda	i- ta- tu- kunda
itaduteranye	i- ta- tu- teranye
itaduteye	i- ta- tu- teye
itafanije	i- ta- fana -ije
itafashije	i- ta- fashije
itagabanuka	i- ta- gabanuka
itagabanyije	i- ta- gabanya -ije
itagabanyijwe	i- ta- gabanya -ije -w
itagabanywa	i- ta- gabanya -w
itagaburirwa	i- ta- gaburirwa
itagaburiwe	i- ta- gaburiwe
itagakwiriye	i- ta- ka- kwiriye
itagamije	i- ta- gamije
itaganiriweho	i- ta- ganira -iye -w -ho
itaganiweho	i- ta- gana -iye -w -ho
itaganya	i- ta- ganya
itaganza	i- ta- ganza
itagaragaje	i- ta- garagaje
itagaragara	i- ta- garagara
itagaragaraho	i- ta- garagara -ho
itagaragaramo	i- ta- garagara -mo
itagaragarira	i- ta- garagara -ir
itagaragarwaho	i- ta- garagara -w -ho
itagaragaye	i- ta- garagaye
itagaragaza	i- ta- garagaza
itagaragazwa	i- ta- garagaza -w
itagarukira	i- ta- garuka -ir
itagarurwa	i- ta- ka- rura -w
itagenda	i- ta- genda
itagendaga	i- ta- genda -aga
itagendagamo	i- ta- genda -aga -mo
itagendanwa	i- ta- gendana -w
itagendanye	i- ta- gendanye
itagendera	i- ta- genda -ir
itagengwa	i- ta- genga -w
itagenze	i- ta- genze
itagenzura	i- ta- genzura
itagera	i- ta- gera
itageraga	i- ta- gera -aga
itageraho	i- ta- gera -ho
itagereranywa	i- ta- gereranya -w
itagerwaho	i- ta- gera -w -ho
itageze	i- ta- geze
itagezweho	i- ta- geza -w -e -ho
itagicamo	i- ta- ki- ca -mo
itagifatwa	i- ta- ki- fata -w
itagifite	i- ta- ki- fite
itagihabwa	i- ta- ki- habwa
itagihangana	i- ta- ki- hangana
itagije	i- ta- ki- je
itagikeneye	i- ta- ki- keneye
itagikinnye	i- ta- ki- ki- nnya -e
itagikinwe	i- ta- ki- kina -w -e
itagikomeye	i- ta- ki- komeye
itagikomeza	i- ta- ki- komeza
itagikora	i- ta- ki- kora
itagikoreshwa	i- ta- ki- koreshwa
itagikoza	i- ta- ki- koza
itagikoze	i- ta- ki- koze
itagikura	i- ta- ki- kura
itagipfa	i- ta- ki- pfa
itagira	i- tagira
itagiraga	i- tagira -aga
itagishimishije	i- ta- ki- shima -ish -ije
itagishobora	i- ta- ki- shobora
itagishobotse	i- ta- ki- shobotse
itagishoboye	i- ta- ki- shoboye
itagishyigikira	i- ta- ki- shyigikira
itagishyushye	i- ta- ki- shyushye
itagitanga	i- ta- ki- tanga
itagitangwa	i- ta- ki- tanga -w
itagitinywa	i- ta- ki- tinya -w
itagitozwa	i- ta- ki- toza -w
itagitwarwa	i- ta- ki- twara -w
itagiye	i- ta- giye
itagize	i- tagize
itagizwe	i- ta- ki- za -w -e
itagomba	i- ta- gomba
itagombaga	i- ta- gomba -aga
itagombye	i- ta- gombye
itagora	i- ta- gora
itagoye	i- ta- goye
itaguhatira	i- ta- ku- ha- tira
itagura	i- ta- gura
itagurisha	i- ta- gurisha
itaguruka	i- ta- guruka
itagurwa	i- ta- gurwa
itagurwaga	i- ta- gurwa -aga
itaguye	i- ta- guye
itaguzwe	i- ta- guzwe
itagwa	i- ta- gwa
itagwira	i- ta- gwira
itagwiriye	i- ta- gwiriye
itaha	i- taha
itahabonetse	i- ta- ha- bonetse
itahabura	i- ta- ha- bura
itahabwa	i- ta- habwa
itahabwaga	i- ta- habwa -aga
itahaga	i- taha -aga
itahagaragara	i- ta- ha- garagara
itahagaragaye	i- ta- ha- garagaye
itahagarara	i- ta- hagarara
itahagera	i- ta- ha- gera
itahagerera	i- ta- ha- gera -ir
itahagwa	i- ta- ha- gwa
itahakangwa	i- ta- ha- kanga -w
itahakunda	i- ta- ha- kunda
itahari	i- ta- ha- ri
itahariwe	i- ta- ha- riwe
itahaye	i- ta- haye
itahaza	i- ta- haza
itahe	i- taha -e
itahembaga	i- ta- hemba -aga
itahembye	i- ta- hembye
itahera	i- ta- hera
itaherukaga	i- ta- heruka -aga
itahezwa	i- ta- ha- ezwa
itahindutse	i- ta- hindutse
itahiriwe	i- ta- hiriwe
itahiriye	i- taha -ir -iye
itahiriza	i- ta- ha- iriza
itahita	i- ta- hita
itahitaga	i- ta- hita -aga
itahitamo	i- ta- hita -mo
itahiwe	i- taha -iye -w
itahombejwe	i- ta- homba -ije -w
itahuka	i- ta- ahuka
itahukana	i- ta- ahukana
itahuriye	i- ta- hura -iye
itahurwa	i- ta- hura -w
itahwa	i- taha -w
itahwemye	i- ta- hwemye
itaje	i- ta- je
itajegajega	i- ta- jegajega
itajya	i- ta- jya
itajyaga	i- ta- jya -aga
itajyana	i- ta- jyana
itajyanye	i- ta- jyanye
itaka	i- taka
itakagombye	i- ta- ka- gombye
itakaje	i- ta- ka- je
itakamba	i- ta- ka- n- ba
itakaza	i- ta- kaza
itakaze	i- ta- kaza -e
itakibafashije	i- ta- ki- ba- fashije
itakibaho	i- ta- ki- ba -ho
itakibasha	i- ta- ki- basha
itakibaye	i- ta- ki- baye
itakibayeho	i- ta- ki- baye -ho
itakiberanye	i- ta- ki- bera -an -ye
itakibereye	i- ta- ki- bereye
itakibifashe	i- ta- ki- bi- fashe
itakibitanga	i- ta- ki- bi- tanga
itakibitayeho	i- ta- ki- ba- itaye -ho
itakibona	i- ta- ki- bona
itakiboneka	i- ta- ki- boneka
itakibonekamo	i- ta- ki- boneka -mo
itakibonetse	i- ta- ki- bonetse
itakigaragara	i- ta- ki- garagara
itakigaragaza	i- ta- ki- garagaza
itakigezweho	i- ta- ki- geza -w -e -ho
itakigira	i- ta- ki- gira
itakigurwa	i- ta- ki- gurwa
itakihaboneka	i- ta- ki- ha- boneka
itakihakeneye	i- ta- ki- ha- keneye
itakiharangwa	i- ta- ki- ha- ranga -w
itakije	i- taka -ije
itakijyanye	i- ta- ki- jyanye
itakimuziritse	i- ta- ki- mu- ziritse
itakinica	i- ta- ki- n- ica
itakinnye	i- ta- ki- nnya -e
itakinyiyumvamo	i- ta- ki- n- y- i- umva -mo
itakinywe	i- ta- ki- nywa -e
itakiri	i- ta- ki- ri
itakiriho	i- ta- ki- ri -ho
itakiriwe	i- ta- ki- riwe
itakirwanya	i- ta- ki- rwanya
itakitabiriye	i- ta- ka- itaba -ir -iye
itakiyiteye	i- ta- ki- yi- teye
itakizamuka	i- ta- ki- zamuka
itakoherezwa	i- ta- ka- ohereza -w
itakomeje	i- ta- komeje
itakomeza	i- ta- komeza
itakongera	i- ta- ka- ongera
itakongere	i- ta- ka- ongera -e
itakora	i- ta- kora
itakoraga	i- ta- kora -aga
itakoreshejwe	i- ta- koresha -ije -w
itakorewe	i- ta- korewe
itakoze	i- ta- koze
itakozwe	i- ta- kozwe
itakugaragaraho	i- ta- ku- garagara -ho
itakunze	i- ta- kunze
itakuraho	i- ta- kura -ho
itakuye	i- ta- kuye
itakuyeho	i- ta- kuye -ho
itakuzuza	i- ta- ka- uzuza
itakwa	i- ta- kwa
itakwandikwa	i- ta- ku- andika -w
itakwanga	i- ta- ku- anga
itakwegera	i- ta- ku- egera
itakwemera	i- ta- ku- emera
itakwibagirwa	i- ta- ku- ibagirwa
itakwica	i- ta- ku- ica
itakwihanganirwa	i- ta- ku- ihangana -ir -w
itakwihutira	i- ta- ku- ihuta -ir
itakwita	i- ta- ku- ita
itakwitabwaho	i- ta- ku- itaba -w -ho
itakwivana	i- ta- ku- i- vana
itakwivanga	i- ta- ku- i- vanga
itamamara	i- ta- amamara
itamanuka	i- ta- manuka
itamanura	i- ta- manura
itamanutse	i- ta- manutse
itamara	i- ta- mara
itamaraga	i- ta- mara -aga
itamaramo	i- ta- mara -mo
itamaranye	i- ta- mara -an -ye
itamaze	i- ta- maze
itamba	i- tamba
itambara	i- ta- ambara
itambitse	i- tambitse
itambuka	i- tambuka
itambwe	i- tamba -w -e
itamenya	i- tamenya
itamenye	i- ta- menye
itamera	i- ta- mera
itameshe	i- ta- meshe
itameswa	i- ta- mesa -w
itameze	i- ta- meze
itamoka	i- ta- moka
itamubata	i- ta- mu- ba- ta
itamubereye	i- ta- mu- bereye
itamufashije	i- ta- mu- fashije
itamugiraho	i- ta- mu- gira -ho
itamugirira	i- ta- mu- gira -ir
itamugoye	i- ta- mu- goye
itamuhagije	i- ta- mu- hagije
itamuhamagara	i- ta- mu- hamagara
itamuhaye	i- ta- mu- haye
itamuhemba	i- ta- mu- hemba
itamukwiriye	i- ta- mu- kwiriye
itamungwa	i- ta- mu- n- gwa
itamunyuze	i- ta- mu- nyuze
itamureba	i- ta- mu- reba
itamurikiwe	i- ta- murikiwe
itamurusha	i- ta- mu- rusha
itamushimishije	i- ta- mu- shima -ish -ije
itamutega	i- ta- mu- tega
itamutera	i- ta- mu- tera
itamuteye	i- ta- mu- teye
itamutumye	i- ta- mu- tumye
itamuturutseho	i- ta- mu- turutse -ho
itamutwarira	i- ta- mu- twara -ir
itamuvuna	i- ta- mu- vuna
itamuzanira	i- ta- mu- zanira
itamuzi	i- ta- mu- zi
itanabakijije	i- ta- na- ba- kijije
itanafite	i- ta- na- fite
itanagurwa	i- ta- na- gurwa
itanahari	i- ta- na- ha- ri
itananiranye	i- ta- nanira -an -ye
itananirwa	i- ta- nanirwa
itanarenze	i- ta- na- renze
itanasezeye	i- ta- na- sezeye
